res_of_id,res_of_lname,res_of_name,res_of_trip_id,res_payment
NULL,Nia,Petersen,1,79.76
NULL,Mina,Erickson,1,150.04
NULL,Enzo,Rosales,1,98.74
NULL,Lizbeth,Sanchez,1,183.85
NULL,Ella,Berger,1,201
NULL,Mariyah,Bonilla,1,180.92
NULL,Cooper,Santos,1,136.51
NULL,Finnegan,Evans,1,60.92
NULL,Camren,Copeland,1,236.45
NULL,Jayson,Moyer,1,132.16
NULL,Zoey,Vargas,1,98.96
NULL,Ezra,Webster,1,94.24
NULL,Cierra,Bryan,1,100.05
NULL,Lennon,Walsh,1,94.27
NULL,Ahmed,Montes,1,123.56
NULL,Lilyana,Levy,1,52.57
NULL,Lailah,Ferguson,1,233.1
NULL,Carolina,Grant,1,148.74
NULL,Allan,Bean,1,128.08
NULL,Jairo,Shannon,1,184.1
NULL,Iliana,Reeves,1,174.7
NULL,Ashlyn,Barrera,1,52.31
NULL,Carlee,Foster,1,231.12
NULL,Elian,Ayala,1,74.59
NULL,Lena,Walsh,1,172.56
NULL,Christine,Frey,1,230.8
NULL,Alexis,Peterson,1,61.81
NULL,Kaiya,Hale,1,81
NULL,River,Clarke,1,82.84
NULL,Gerald,Cook,1,184.14
NULL,Janiya,Pham,1,132.93
NULL,Corey,Lowe,1,96.63
NULL,Kiara,Howard,1,58.14
NULL,Jaylen,Ritter,1,164.06
NULL,Cade,Ellison,1,85.09
NULL,Brianna,David,1,103.6
NULL,Howard,Bradford,1,138.78
NULL,Thalia,Lin,1,148.45
NULL,Maddox,Faulkner,1,158.5
NULL,Kaylee,Khan,1,57.69
NULL,Jakob,Morales,1,244.7
NULL,Melanie,Horn,1,63.57
NULL,Yasmin,Aguilar,1,224.98
NULL,Kaiya,Patton,1,69.63
NULL,Tabitha,Forbes,1,60.29
NULL,Jordan,Odom,1,231.65
NULL,Frances,Rojas,1,153.33
NULL,Santos,Boyer,1,155.96
NULL,Derrick,Jenkins,1,149.53
NULL,Marvin,Vasquez,1,216.54
NULL,Jamya,Mcintosh,1,132.65
NULL,Jonas,Caldwell,1,238.39
NULL,Jane,Gaines,1,72.57
NULL,Zaria,Thornton,1,62.29
NULL,Katelyn,Osborn,1,192.57
NULL,Malia,Cook,1,193.68
NULL,Zion,Bolton,1,186.81
NULL,Phoenix,Lewis,1,116.2
NULL,Ivy,Molina,1,224.17
NULL,Nikhil,York,1,234.13
NULL,Rigoberto,Ramirez,1,140.74
NULL,Bryant,Mckenzie,1,103.7
NULL,Jasmine,Chen,1,210.2
NULL,Jamiya,Acosta,1,231.16
NULL,Matias,Nunez,1,70.06
NULL,Harley,French,1,165.06
NULL,Layne,Vincent,1,144.29
NULL,Cecilia,Hamilton,1,121.51
NULL,Marlie,Sharp,1,205.97
NULL,Cindy,Santiago,1,96.59
NULL,Uriel,Dyer,1,220.75
NULL,Damarion,Walls,1,67.28
NULL,Whitney,Jackson,1,188.91
NULL,Darius,Woodard,1,188.26
NULL,Addison,Gaines,1,157.53
NULL,Cassidy,Dennis,1,89.88
NULL,Evelin,Morales,1,67.67
NULL,Janiyah,Lamb,1,79.11
NULL,Tabitha,Hancock,1,128.3
NULL,Dallas,Lutz,1,194.76
NULL,Shannon,Simon,1,176.31
NULL,William,Fuller,1,137.61
NULL,Jadyn,Hendrix,1,139.49
NULL,Brayan,Mooney,1,151.72
NULL,Efrain,Holloway,1,76.58
NULL,Leila,Haney,1,147.92
NULL,Heather,Wilson,1,99.71
NULL,Shannon,Michael,1,111.09
NULL,Leila,Booth,1,91.81
NULL,Gabriella,Mcgee,1,114.66
NULL,Aden,Noble,1,52.48
NULL,Zackery,Alexander,1,161.32
NULL,Jonah,Gibson,1,77.95
NULL,Travis,Mitchell,1,234.19
NULL,Darien,Hammond,1,59.96
NULL,Trevon,Russell,1,128.28
NULL,Dante,Dean,1,223.27
NULL,Annabelle,Pittman,1,99.01
NULL,Grady,Harding,1,160.14
NULL,London,Li,1,185.7
NULL,Irvin,Alexander,1,80.63
NULL,Johnathon,Valdez,1,198.29
NULL,Belinda,Faulkner,1,189.25
NULL,Darrell,Ortega,1,169.01
NULL,Manuel,Nolan,1,69.38
NULL,Campbell,Orozco,1,67.32
NULL,Jameson,Stokes,1,124.42
NULL,Elena,Hanna,1,71.82
NULL,Jennifer,Pierce,1,53.12
NULL,Luna,Yates,1,126.21
NULL,Jerimiah,Mosley,1,152.07
NULL,Terrell,Bradshaw,1,78.23
NULL,Alisha,Duncan,1,102.24
NULL,Noemi,Kim,1,204.66
NULL,Jay,Ashley,1,203.45
NULL,Zara,Craig,1,224.35
NULL,Travis,Hartman,1,115.76
NULL,Giovanna,Zimmerman,1,190.82
NULL,Nicolas,Stanton,1,206.7
NULL,Guillermo,Pierce,1,169.09
NULL,Frederick,White,1,174.58
NULL,Santino,Nguyen,1,240.05
NULL,Kobe,Donaldson,1,144.1
NULL,Brock,Decker,1,52.11
NULL,Eddie,Rivas,1,233.45
NULL,Lexi,Costa,1,139.81
NULL,Bethany,Gonzalez,1,179.08
NULL,Maverick,Hendrix,1,111.33
NULL,Moriah,Barrera,1,153.47
NULL,Keyon,Brandt,1,135.6
NULL,Matias,Choi,1,98.32
NULL,Mitchell,Montoya,1,104.71
NULL,Issac,Christian,1,168.1
NULL,Terry,Kline,1,91.26
NULL,Adalynn,Blake,1,248.25
NULL,Yahir,Juarez,1,148.32
NULL,Nancy,Branch,1,231.35
NULL,Tamara,Walters,1,223.51
NULL,Neveah,Bolton,1,183.95
NULL,Kade,Wilcox,1,228.28
NULL,Demarion,Howell,1,145.27
NULL,Carl,Short,1,95.83
NULL,Omari,Farmer,1,105.79
NULL,Samara,Roberts,1,155.01
NULL,Hadley,Strong,1,113.4
NULL,Adonis,Guzman,1,128.53
NULL,Kaleb,Robbins,1,68.07
NULL,Jerry,Harding,1,143.16
NULL,Slade,Duran,1,145.6
NULL,Spencer,Zhang,1,77.89
NULL,Stephany,Good,1,80.67
NULL,Gaven,Sullivan,1,122.23
NULL,Tucker,Hood,1,238.21
NULL,Travis,Barrera,1,95.6
NULL,Keith,Kerr,1,117.32
NULL,Breanna,Stein,1,164.06
NULL,Alexander,Frazier,1,105.87
NULL,Makaila,Riley,1,110.16
NULL,Marilyn,Willis,1,147.3
NULL,Miles,Chang,1,148.37
NULL,London,James,1,66.16
NULL,Skylar,Vincent,1,88.11
NULL,Isai,Mcintosh,1,242.28
NULL,Vaughn,Wall,1,155.65
NULL,Brennen,Gonzalez,1,93.47
NULL,Elvis,Villegas,1,148.08
NULL,Lacey,Sparks,1,136.12
NULL,Ryker,Kelly,1,171.68
NULL,Aryana,Dyer,1,96.24
NULL,Jazmyn,Krause,1,182.31
NULL,Amiyah,Day,1,93.54
NULL,Gianni,Todd,1,144.36
NULL,Diya,Sloan,1,61.16
NULL,Kingston,Harrell,1,76.36
NULL,Emiliano,Barrett,1,60.49
NULL,Eden,Conrad,1,235.65
NULL,Jaelyn,Chambers,1,143.19
NULL,Lauren,Parks,1,129.64
NULL,Juliette,Rosales,1,108.27
NULL,Jaquan,Schroeder,1,192.81
NULL,Alina,Morris,1,199.95
NULL,Aylin,Mcknight,1,91.04
NULL,Kenyon,Delacruz,1,224.98
NULL,Alma,Blair,1,248.16
NULL,Santiago,Wilkerson,1,174.54
NULL,Zane,Olsen,1,122.88
NULL,Kieran,Arias,1,172.25
NULL,Paisley,Barnett,1,222.76
NULL,Asa,Hart,1,53.21
NULL,Maya,Olsen,1,120.18
NULL,Antoine,Schroeder,1,238.68
NULL,Heath,Quinn,1,173.21
NULL,Sincere,Velazquez,1,79.15
NULL,Carsen,Mcbride,1,61.47
NULL,Iyana,Chang,1,161.32
NULL,Jackson,Tucker,1,234.13
NULL,Nikolas,Potts,1,145.4
NULL,Shania,Khan,1,150.54
NULL,Skylar,Walker,1,125.13
NULL,Ronan,Walters,1,199.23
NULL,Amari,Everett,1,129.01
NULL,Pablo,Rich,1,224.92
NULL,Madeline,Cantu,1,169.97
NULL,Alma,Copeland,1,139.8
NULL,Manuel,Michael,1,119.24
NULL,Emelia,Alvarado,1,85.26
NULL,Rafael,Pugh,1,237.02
NULL,Everett,Aguirre,1,135.01
NULL,Evan,Knight,1,224.6
NULL,Jabari,Orozco,1,56.31
NULL,Alonso,Hensley,1,105.63
NULL,Arielle,Webb,1,189.63
NULL,Kayleigh,Cervantes,1,86.59
NULL,Emilio,Cowan,1,164.55
NULL,Ernest,Miles,1,219.09
NULL,Halle,Wagner,1,164.78
NULL,Deegan,Boyd,1,152.63
NULL,Aylin,Ayala,1,100.67
NULL,Mitchell,Burton,1,186.78
NULL,Kaila,Macias,1,76.8
NULL,Jonas,Rogers,1,158.7
NULL,Cristal,English,1,85.71
NULL,Seamus,Hammond,1,155.13
NULL,Mallory,Mcneil,1,189.78
NULL,Alanna,Gay,1,55.07
NULL,Landyn,Lamb,1,120.38
NULL,Mylie,Downs,1,218.81
NULL,Darion,Solis,1,125.73
NULL,Angel,Mcdonald,1,150.87
NULL,Logan,Flores,1,120.02
NULL,Abbey,Houston,1,115.86
NULL,Gina,Yates,1,240.48
NULL,Jaquan,Gould,1,153.79
NULL,Anderson,Caldwell,1,189.48
NULL,Konner,Wolfe,1,136.64
NULL,Miguel,Rivera,1,57.95
NULL,Jaylee,Hart,1,249.07
NULL,Koen,Sweeney,1,61.13
NULL,Aubrey,Bell,1,175.86
NULL,Marley,Davenport,1,190.57
NULL,June,Black,1,167.89
NULL,Tate,Huang,1,63.97
NULL,Immanuel,Richardson,1,222.73
NULL,Octavio,Robbins,1,156.15
NULL,Abram,Houston,1,66.9
NULL,Vincent,Lambert,1,226.31
NULL,Leandro,Contreras,1,73.29
NULL,Luna,Little,1,244
NULL,Julian,Brandt,1,195.93
NULL,Angeline,Ochoa,1,67.44
NULL,Makena,Savage,1,211.26
NULL,Marina,Chung,1,236.57
NULL,Alessandra,Saunders,1,83.14
NULL,Zoey,Howe,1,142.76
NULL,Isabell,Horne,1,200.9
NULL,Lexi,Hopkins,1,205.49
NULL,Talan,Estes,1,62.72
NULL,Kash,Kerr,1,83.98
NULL,Ramon,Blankenship,1,72.35
NULL,Allie,Lozano,1,217.73
NULL,Bo,Reese,1,163.92
NULL,Alana,Waller,1,114.76
NULL,Lyric,Lucas,1,226.07
NULL,April,Hutchinson,1,119.41
NULL,Annalise,Ferguson,1,207.32
NULL,Elise,Garner,1,69.66
NULL,Scarlet,Perry,1,237.22
NULL,Andre,Maxwell,1,177.07
NULL,Santino,Vazquez,1,173.74
NULL,Shiloh,Little,1,154.64
NULL,Seth,Hobbs,1,214.55
NULL,Dean,Potter,1,224.9
NULL,Macy,Maddox,1,222.44
NULL,Irene,Charles,1,78.39
NULL,Evelin,Huffman,1,153.49
NULL,Reynaldo,Ballard,1,216.47
NULL,Darien,Ramos,1,70.13
NULL,Emery,Cameron,1,236.72
NULL,Terrell,Ruiz,1,213.85
NULL,Dalia,Mata,1,72.88
NULL,Lauren,Carter,1,177
NULL,Nataly,Gates,1,91.27
NULL,Allan,Jones,1,71.69
NULL,Kellen,Thomas,1,165.61
NULL,Aleah,Mahoney,1,173.98
NULL,Kasen,Greene,1,120.04
NULL,Mckayla,Hood,1,221.8
NULL,Gina,Buchanan,1,132.95
NULL,Eden,Hunt,1,109.61
NULL,Marlon,Sullivan,1,190.43
NULL,Lorenzo,Daniels,1,155.59
NULL,Rashad,Griffith,1,193.07
NULL,Paityn,Blankenship,1,246.84
NULL,Justice,Porter,1,195.09
NULL,Beatrice,Stevenson,1,58.92
NULL,Lawrence,Donovan,1,191.25
NULL,Kaley,Chung,1,176.99
NULL,Matias,Hansen,1,211.29
NULL,Jude,Wall,1,115.28
NULL,Ann,Savage,1,202.14
NULL,Carlo,Giles,1,76.99
NULL,Kyla,Liu,1,99.47
NULL,Maximus,Hayden,1,239.87
NULL,Kolten,Fischer,1,82.62
NULL,Natasha,Martin,1,85.96
NULL,Jerome,Silva,1,183.94
NULL,Salvador,Pineda,1,242.87
NULL,Karter,Meadows,1,73.68
NULL,Fatima,Lyons,1,66.43
NULL,Brenda,Levy,1,58.19
NULL,Marlie,Parks,1,79.03
NULL,Dawson,Bowman,1,150.4
NULL,Raiden,Pena,1,234.32
NULL,Alec,Kemp,1,173.26
NULL,Aryanna,Koch,1,84.02
NULL,Jamari,Reid,1,155.8
NULL,Brylee,Dyer,1,65.85
NULL,Todd,Beasley,1,160.08
NULL,Paisley,Baldwin,1,191.61
NULL,Ramiro,Underwood,1,172.46
NULL,Dax,Landry,1,192.98
NULL,Lillianna,Bridges,1,163.9
NULL,Aracely,Casey,1,165.15
NULL,Porter,Lynch,1,245.35
NULL,Addisyn,Underwood,1,97.2
NULL,Brendon,Downs,1,151.01
NULL,Zechariah,Ferrell,1,52.45
NULL,Chasity,Andersen,1,130.83
NULL,Megan,Pineda,1,214.05
NULL,Mikayla,Chase,1,54.39
NULL,Willow,Mccarthy,1,236.05
NULL,Claire,Blackwell,1,190.01
NULL,Nataly,Bruce,1,63.03
NULL,Lea,Conway,1,151.75
NULL,Troy,Barnes,1,201.06
NULL,Dalton,Le,1,178.5
NULL,Jocelyn,Hatfield,1,121.35
NULL,Solomon,Mckee,1,230.35
NULL,Yasmine,Johns,1,80.47
NULL,Kenzie,Farley,1,177.85
NULL,Joselyn,Jordan,1,211.33
NULL,Mekhi,Bennett,1,107.45
NULL,Tiffany,Kane,1,109.46
NULL,Kaylynn,Aguirre,1,237.94
NULL,Kailee,Burke,1,196.99
NULL,Carolyn,Swanson,1,109.3
NULL,Jamar,Roberts,1,53.79
NULL,Oswaldo,Price,1,113.28
NULL,Marianna,Deleon,1,185.11
NULL,Easton,Hicks,1,103.73
NULL,Kasey,York,1,226.77
NULL,Mary,Haley,1,218.18
NULL,Maeve,Lewis,1,101.02
NULL,Cornelius,George,1,110.35
NULL,Zaid,Hernandez,1,74.37
NULL,Jordon,Townsend,1,234.18
NULL,Donald,Pearson,1,117.77
NULL,Jerimiah,Barton,1,130.82
NULL,Alex,Mcmahon,1,92.5
NULL,Brianna,Dodson,1,73.7
NULL,Teagan,Vazquez,1,240.33
NULL,Clinton,Briggs,1,153.32
NULL,Daniel,Spencer,1,132.83
NULL,Katelyn,Christian,1,249.8
NULL,Phoenix,Watkins,1,173.15
NULL,Alexia,Elliott,1,173.68
NULL,Marianna,Skinner,1,92.72
NULL,Lilly,Baker,1,66.58
NULL,Diana,Trevino,1,237.17
NULL,Myah,Espinoza,1,158.43
NULL,Heath,Lynch,1,185
NULL,Laurel,Hutchinson,1,160.91
NULL,Kelly,Koch,1,174.48
NULL,Ryland,Holder,1,128.24
NULL,Adrianna,Stephenson,1,225.42
NULL,Allen,Mullins,1,72.16
NULL,Kameron,Guzman,1,64.22
NULL,Raelynn,Chung,1,59.94
NULL,Jalen,Casey,1,249.33
NULL,Lane,Burton,1,174.33
NULL,Tianna,Bautista,1,243.84
NULL,Riley,Bradford,1,183.9
NULL,Sidney,Jackson,1,209.81
NULL,Troy,Fields,1,95.72
NULL,Jan,Conway,1,142.13
NULL,Brielle,Craig,1,195.33
NULL,Brenden,Whittaker,1,174.66
NULL,Manuela,Mcintyre,1,157.65
NULL,Emery,Matthews,1,85.23
NULL,Rishi,Levy,1,111.27
NULL,Greta,Skinner,1,214.44
NULL,Martha,Castillo,1,154.22
NULL,Giuliana,Obrien,1,229.02
NULL,Asa,Chapman,1,125.57
NULL,Nehemiah,Brooks,1,84.92
NULL,Jamal,Fernandez,1,214.55
NULL,Sophia,Fitzpatrick,1,59.24
NULL,Josie,Eaton,1,128.69
NULL,Josie,Randall,1,248.17
NULL,Karly,Mills,1,70.94
NULL,Araceli,Leonard,1,55.55
NULL,Moises,Bartlett,1,240.43
NULL,Maia,Mccarty,1,78.57
NULL,Jaycee,Wheeler,1,158.78
NULL,Lyric,Orr,1,227.93
NULL,Lauryn,Hahn,1,195.35
NULL,Briana,Bowers,1,115.2
NULL,Sean,May,1,123.48
NULL,Lainey,Cunningham,1,52.25
NULL,Jolie,Forbes,1,144.1
NULL,Jameson,Smith,1,80.83
NULL,Skye,Reese,1,227.51
NULL,Alana,Duffy,1,149.4
NULL,Omari,Baird,1,193.6
NULL,Ace,Baldwin,1,243.6
NULL,Desirae,Dawson,1,150.84
NULL,Mila,Villegas,1,167.63
NULL,Kaitlyn,Mcgee,1,141.97
NULL,Anthony,York,1,239.37
NULL,Ace,Huff,1,170.07
NULL,Lucille,Dyer,1,179.86
NULL,Maren,Michael,1,235.13
NULL,Dangelo,Greer,1,234.25
NULL,Roy,Barker,1,217.43
NULL,Donald,Beasley,1,192.22
NULL,Wilson,Cox,1,84.87
NULL,Jessica,Randall,1,142.4
NULL,Iliana,Wyatt,1,246.63
NULL,Aron,Oliver,1,217.9
NULL,Jazmine,Tucker,1,138.51
NULL,Heath,Yang,1,96.13
NULL,Jazlyn,Mckee,1,247.15
NULL,Landon,English,1,98.76
NULL,Noe,Miller,1,165.94
NULL,Sidney,Underwood,1,205.63
NULL,Wayne,Rosario,1,80.08
NULL,Ada,Barnes,1,128.27
NULL,Ella,Summers,1,94.64
NULL,Kody,Pacheco,1,210.4
NULL,Xzavier,Ellis,1,75.92
NULL,Caitlyn,Mitchell,1,105.68
NULL,Kaylyn,Richards,1,88.48
NULL,Sawyer,Klein,1,237.44
NULL,Leon,Ball,1,183.97
NULL,Kiera,Gill,1,116.78
NULL,Arielle,Rowland,1,216.4
NULL,Glenn,Key,1,235.92
NULL,Kieran,Stanton,1,66.53
NULL,Darnell,Browning,1,202.37
NULL,Renee,Douglas,1,168.33
NULL,Mercedes,Mosley,1,67.23
NULL,Kaylee,Dawson,1,84.65
NULL,Madelyn,Pratt,1,205.62
NULL,Rudy,Cruz,1,226.99
NULL,Darren,Morrow,1,194.77
NULL,Diego,Haas,1,246.67
NULL,Jaylin,Murphy,1,189.53
NULL,Riley,Marks,1,241.12
NULL,Samir,Rios,1,214.99
NULL,Alisson,Burnett,1,180.11
NULL,London,Ray,1,199.94
NULL,Juliette,Richmond,1,70.44
NULL,Theodore,Werner,1,245.56
NULL,Andreas,Key,1,94.77
NULL,Julien,Page,1,91.3
NULL,Walker,Vincent,1,95.73
NULL,Anabella,Mcfarland,1,230.53
NULL,Kiley,Wolfe,1,77.21
NULL,Helena,Manning,1,224.97
NULL,Ramon,Duran,1,93.08
NULL,Dorian,Rogers,1,201.36
NULL,Rylie,Esparza,1,88.33
NULL,Kelsey,Hickman,1,139.22
NULL,Cassie,Prince,1,60.5
NULL,Remington,Potter,1,182.68
NULL,Sofia,Schultz,1,243.49
NULL,Asa,Ward,1,228.44
NULL,Carla,Hoover,1,165.67
NULL,Julie,Pitts,1,225.7
NULL,Gael,Dunlap,1,199.66
NULL,Adam,Ingram,1,216.45
NULL,Princess,Berry,1,223.42
NULL,Ashanti,Meza,1,51.42
NULL,Madelynn,Campbell,1,114.28
NULL,Joanna,Abbott,1,226.59
NULL,Alijah,Goodwin,1,73.98
NULL,Valentina,Oconnell,1,135.38
NULL,Maximillian,Mcclain,1,75.76
NULL,Grady,Shannon,1,130.09
NULL,Julianne,Wiley,1,179.12
NULL,Lea,Cochran,1,226.21
NULL,Alondra,Cisneros,1,178.4
NULL,Mina,Townsend,1,94.47
NULL,Owen,Brown,1,115.22
NULL,Kyleigh,Wheeler,1,103.49
NULL,Drake,Ferrell,1,60.87
NULL,Kaia,Spencer,1,57.46
NULL,Aubrey,Navarro,1,142.79
NULL,Jude,Burnett,1,102.95
NULL,Rose,Parks,1,178.68
NULL,Gina,Gilmore,1,100.58
NULL,Eliezer,Deleon,1,65.34
NULL,Caroline,Bennett,1,142.43
NULL,Tristin,Barber,1,66.96
NULL,Tucker,Park,1,120.73
NULL,Ernesto,Harris,1,174.71
NULL,Jada,Marquez,1,237.47
NULL,Aubree,Sanders,1,56.96
NULL,Brian,Montgomery,1,175.01
NULL,Madeleine,Murphy,1,220.7
NULL,Levi,Mcgee,1,177.29
NULL,Georgia,Cruz,1,113.3
NULL,Andres,Tran,1,151.89
NULL,Kali,Cardenas,1,93.17
NULL,Reid,Ross,1,240.78
NULL,Cara,Saunders,1,137.56
NULL,Monique,Cunningham,1,177.48
NULL,Sean,Strong,1,191.86
NULL,Darien,Kirk,1,69.35
NULL,Abbie,Franco,1,64.18
NULL,Ronald,Hurley,1,148.08
NULL,Nathalie,Ramos,1,97.95
NULL,Lillian,Frazier,1,227.59
NULL,Sophia,Stuart,1,78.4
NULL,Dylan,Mahoney,1,117.24
NULL,Preston,Kaufman,1,217.92
NULL,Sara,Hayden,1,62.77
NULL,Chanel,Byrd,1,186.3
NULL,Jade,Mayer,1,201.67
NULL,Kendal,Juarez,1,153.35
NULL,Malia,Vaughan,1,130.68
NULL,Aimee,Saunders,1,213.49
NULL,Zane,Velazquez,1,160
NULL,Annabella,Contreras,1,98.52
NULL,Mia,Delgado,1,138.97
NULL,Miranda,Ibarra,1,79.13
NULL,Tania,Mcneil,1,247.59
NULL,Rolando,Wagner,1,123.6
NULL,Hayley,Gardner,1,85.78
NULL,Terrell,Glover,1,134.73
NULL,Josh,Bates,1,106.17
NULL,Taylor,Sherman,1,133.23
NULL,Stephanie,Mcbride,1,84.76
NULL,Reece,Schroeder,1,139.54
NULL,Chasity,Brennan,1,170.64
NULL,Andre,Ramirez,1,85.7
NULL,Irvin,Velazquez,1,232.27
NULL,Trinity,Golden,1,174.4
NULL,Ruben,Bradshaw,1,125.86
NULL,Tiara,Nunez,1,128.58
NULL,Maximillian,Greene,1,245.9
NULL,Ruby,Levine,1,161
NULL,Frankie,Kidd,1,55.47
NULL,Caroline,Duke,1,212.6
NULL,Wendy,Lee,1,118.97
NULL,Jax,Potter,1,152.32
NULL,Jair,Klein,1,78.6
NULL,Dominique,Knox,1,246.99
NULL,Sean,Benjamin,1,144.12
NULL,Aileen,Burch,1,246.42
NULL,Brodie,Larsen,1,199.77
NULL,Allyson,Murillo,1,105.38
NULL,Kianna,Zavala,1,69.87
NULL,Dashawn,Cook,1,55.01
NULL,Jamison,Combs,1,161.67
NULL,Arjun,Jacobs,1,227.53
NULL,Marianna,Colon,1,247.14
NULL,Dayami,Proctor,1,139.44
NULL,Hadassah,Duarte,1,162.61
NULL,Bryanna,Melendez,1,220.27
NULL,Mohammad,Lozano,1,190.69
NULL,Natalia,Lindsey,1,189.2
NULL,Beatrice,Tate,1,154.47
NULL,Mary,Perkins,1,90.48
NULL,Jaylon,Combs,1,188.22
NULL,Antwan,Davila,1,90.02
NULL,Isabel,Hays,1,130.22
NULL,Hana,Foster,1,245.91
NULL,Braylon,Collier,1,244.27
NULL,Kyleigh,Ball,1,217.74
NULL,Ari,Hoover,1,153.01
NULL,Kade,Hayden,1,69.82
NULL,Madelyn,Contreras,1,221.6
NULL,Willie,Cain,1,97.86
NULL,Christina,Townsend,1,129.6
NULL,Malaki,Long,1,201.58
NULL,Lennon,Shannon,1,219.13
NULL,Joanna,Snyder,1,237.69
NULL,Kenny,Moran,1,249.17
NULL,Brendan,Curry,1,248.89
NULL,Preston,Rogers,1,90.2
NULL,Daisy,Pena,1,221.99
NULL,Audrey,Stevens,1,204.64
NULL,Jax,Hodge,1,189.66
NULL,Amira,Decker,1,234.95
NULL,Jacqueline,Swanson,1,187.1
NULL,Tyrell,Kennedy,1,219.48
NULL,Nickolas,Kim,1,186.89
NULL,Zachery,Houston,1,85.85
NULL,Larissa,Hanson,1,159.41
NULL,Lola,Werner,1,238.11
NULL,Nikolas,Shepherd,1,102.92
NULL,Emilee,Mcgrath,1,83.49
NULL,Memphis,Ferrell,1,169.27
NULL,Anna,Leblanc,1,205.2
NULL,Nina,Lozano,1,89.53
NULL,Lance,Richmond,1,158.59
NULL,Lucas,Harper,1,158.87
NULL,Erick,Weiss,1,131.26
NULL,Brogan,Ewing,1,139.26
NULL,Amanda,Wu,1,60.81
NULL,Corbin,Ray,1,68.17
NULL,Keegan,Bernard,1,230.23
NULL,Andres,Nichols,1,210.93
NULL,Rylee,Pitts,1,128.48
NULL,Sarahi,Mclean,1,142.11
NULL,Irene,Olsen,1,116.47
NULL,Emilia,Cline,1,243.97
NULL,Jaden,Sherman,1,167.1
NULL,Isaias,Stevens,1,200.58
NULL,Zachary,Vincent,1,231.51
NULL,Kiara,Santos,1,97.95
NULL,Madalynn,Chapman,1,70.98
NULL,Ezequiel,Decker,1,143.28
NULL,Reagan,Estes,1,170.87
NULL,Lexi,Joseph,1,220.45
NULL,Lamar,Lester,1,55.53
NULL,Kinsley,Gutierrez,1,91.45
NULL,Lilian,Stanley,1,122.24
NULL,Gage,Wilson,1,240.75
NULL,Marianna,Steele,1,227.48
NULL,Annabella,David,1,102.3
NULL,Jadyn,Glenn,1,62.66
NULL,Wayne,Morgan,1,177.52
NULL,Azaria,Stanton,1,183.93
NULL,Nickolas,Austin,1,149.27
NULL,Xavier,Larson,1,231.77
NULL,Jovani,Dorsei,1,192.25
NULL,Zain,Oneill,1,119.74
NULL,Manuel,Hall,1,121.65
NULL,Hamza,Solomon,1,183.36
NULL,Jadyn,Johnson,1,178.61
NULL,Rishi,Mathis,1,99.85
NULL,Zechariah,Christian,1,125.83
NULL,Kaylin,Mckay,1,201.15
NULL,Jayvon,Holder,1,129.73
NULL,Callie,Clay,1,93.69
NULL,Moises,Meza,1,237.79
NULL,Reece,Goodwin,1,142
NULL,Caitlin,Ruiz,1,168.92
NULL,Brodie,Fowler,1,101.94
NULL,Bethany,Cowan,1,158.63
NULL,Jesse,Hampton,1,142.32
NULL,Summer,Price,1,90.21
NULL,Roderick,Osborne,1,86.18
NULL,Marisa,Sloan,1,239.95
NULL,Imani,Pope,1,204.63
NULL,Dillan,Hanson,1,92.64
NULL,Asher,Mcdaniel,1,87.21
NULL,Campbell,Barnett,1,138.29
NULL,Kyleigh,Sampson,1,220.89
NULL,Braxton,Bryan,1,114.45
NULL,Sarah,Zimmerman,1,89.37
NULL,Carissa,Hendrix,1,56.18
NULL,Reid,Peters,1,53.3
NULL,Jerimiah,Roberson,1,226.88
NULL,Clark,Lamb,1,63.41
NULL,Cedric,Ray,1,53.23
NULL,Travis,Rogers,1,139.94
NULL,Terrell,Duffy,1,94.15
NULL,Simone,Welch,1,133.47
NULL,Felicity,Elliott,1,51.18
NULL,Selina,Hampton,1,245.6
NULL,Jaylin,Terry,1,53.91
NULL,Maddison,Higgins,1,72.43
NULL,Marley,Casey,1,194.45
NULL,Kinsley,Lambert,1,64.59
NULL,Lilyana,Mcdowell,1,86.33
NULL,Charlize,Henderson,1,93.2
NULL,Julissa,Campbell,1,127.66
NULL,Mark,Cisneros,1,203.69
NULL,Zack,Smith,1,89.65
NULL,Matias,Hutchinson,1,70.91
NULL,Chanel,Pearson,1,127.52
NULL,Dallas,Wells,1,191.3
NULL,Kayley,Rubio,1,198.93
NULL,Javier,Hendricks,1,217.39
NULL,Allan,Skinner,1,249.71
NULL,Maximo,Giles,1,119.33
NULL,Nico,Mullen,1,241.22
NULL,Clarence,Perez,1,132.67
NULL,Easton,Bailey,1,215.6
NULL,Amira,Kirk,1,192.29
NULL,Jocelyn,Charles,1,141.85
NULL,Kailyn,Mills,1,224.83
NULL,Felipe,Eaton,1,61.21
NULL,Izabelle,Bond,1,170.22
NULL,Amare,Eaton,1,91.83
NULL,Lucas,Figueroa,1,75.99
NULL,Marie,Kaiser,1,246.41
NULL,Kailyn,Hicks,1,127.39
NULL,Konnor,Norman,1,222.71
NULL,Erik,Wyatt,1,100.12
NULL,Esmeralda,Baldwin,1,159.95
NULL,Saniya,Charles,1,141.51
NULL,Bailee,Esparza,1,157.56
NULL,Rocco,Boyle,1,61.87
NULL,Jakob,Skinner,1,211.21
NULL,Julien,Cline,1,144.65
NULL,Rachael,Blankenship,1,196.85
NULL,Michaela,Paul,1,159.75
